name,address,description,inquiries,imageName,sigungu
한옥갈비,서울특별시 종로구 종로40가길 20 (종로5가),"한옥갈비는 동대문 닭한마리 먹자골목 내에 자리하고 있는 소갈비 구이 전문 고깃집이다. 종로5가역(1호선)과 동대문역(4호선), 종로6가 종합시장 근처에 위치해 있어 접근성이 좋다. 양념소갈비와 돼지왕갈비, 꽃등심 등 소갈비메뉴 뿐만 아니라 생삼겹살, 쌈밥, 돌솥비빔밥 등 각종 고기구이류와 식사류가 준비되어 있다. 매장 내부는 규모가 크고 인테리어가 깔끔해서 단체 모임 식사나 회식 장소로도 제격이다. 밑반찬은 테이블이 가득 찰 정도로 푸짐하게 올라오는데, 그 맛이 자극적이지 않아 고기와 곁들여 먹기 좋다.",02-2263-7731,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=44b265f1-cff6-4a92-bc98-6079c1863f79,종로구
일미간장게장본점,서울특별시 동대문구 장한로24길 7,"서울 동대문구 장안동 상가 거리에 있는 40여 년 전통의 간장게장 전문 식당으로, 간장게장을 좋아하는 사람들에게 잘 알려진 인기 있는 식당이다. 다수의 TV 프로그램에 소개되면서 더욱더 유명해졌다. 대표 메뉴는 한방 약재를 넣고 달인 특제 간장으로 담근 간장게장이고, 양념게장과 꽃게찜, 굴비 한상차림도 있다. 대형 주차장이 완비되어 있으며, 24시간, 365일 연중무휴로 운영한다.",02-2242-4338,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d33cbd99-3a12-47b0-b4c8-05302a69fffb,동대문구
향림사,서울특별시 양천구 중앙로14나길 39,"서울 양천구 신정동 갈산공원과 목동 2차 우성아파트 사이에 위치한 3층 규모의 조계종 소속 불교 사찰로 종무소와 대웅전이 한 건물에 있다. 3층 대웅전을 향해 원형 계단을 오르다 보면 계단 천정의 불화가 유리 밖 건물들과 함께 어우러져 조화를 이룬다. 사찰 우측 계단을 통해 올라가면 체육시설이 있어 운동과 등산을 할 수 있고, 인근 갈산공원을 이용할 수도 있다.",02-2645-6305,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4df4630c-1499-4e8e-976e-bc630419b16a,양천구
친구네정육식당,서울특별시 동작구 여의대방로26길 22,"보라매역 인근에 위치해 있으며 배 터지게 먹어도 가성비를 논할 수 있는 생고기 전문 정육 식당 맛집이다. 질 좋은 고기를 합리적인 가격에 맛볼 수 있는 것은 물론, 1인분 300g으로 제공되는 푸짐함으로 입소문을 타서 인근 기업들의 회식 명소로 각광받고 있다. 소 한 마리, 돼지 한 마리 또는 부위별로 선택하여 주문 가능하며, 불판 가운데 올려진 구수한 된장찌개도 맛있고, 파채, 양파소스, 마카로니 샐러드 등 기본 찬 중 부족한 반찬은 깔끔하게 관리된 셀프 바에서 더 가져다 먹을 수 있어 편리하다.",0507-1447-8884,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3bf57b8d-f36e-4aaf-80d0-f5ffa277cb65,동작구
트레블로지 명동 시티홀,서울특별시 중구 세종대로16길 22,"트레블로지 명동 시티홀이란 이름으로 새로 단장한 이 호텔은 머무는 동안 친절하고 효율적인 서비스와 고객님의 모든 필요를 충족시키는 다양한 시설로 편리함과 편안함을 제공한다. 다양한 교통편과 인기 관광지와 가까운 곳에 위치하고 있어 비즈니스 여행객과 레저 여행객 모두에게 완벽한 숙박 시설이다. 트레블로지 명동 시티홀 호텔은 시청역에서 도보로 3분 거리에 있어 모든 투숙객에게 쉽게 접근할 수 있다. 덕수궁과 남대문시장 등 관광지는 호텔에서 10분 거리 내에 있어 서울 답사가 매우 편리하다. 이 호텔은 뜨거운 욕조에 몸을 담그는 원기회복, 그리고 긴장을 풀고 스트레스를 푸는 만족스러운 사우나 세션 등의 편안한 스파 서비스를 제공한다.",02-6362-6000,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9a60cda-2594-4df9-939d-56daa87745bc,중구
홍미닭발 신사본점,서울특별시 강남구 도산대로1길 6,"매콤한 닭발과 함께 잘 어울리는 주먹밥이 특징인 닭발 요리 전문점으로, 젊은 층이 많이 이용하는 식당이다. 닭발의 맵기 선택도 가능하다. TV 프로그램 ‘전지적 참견 시점’, ‘2TV 생생정보’, ‘신상출시편스토랑’에 출연하여 더욱더 인기다. 대표 메뉴 닭발 외에도 닭똥집, 닭날개, 골뱅이무침, 모둠어묵탕, 계란찜 등 다양한 메뉴가 있다.",02-545-2119,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a41eaf7e-7ccf-4e61-9496-7928c6f5a0e5,강남구
코엑스동측광장,서울특별시 강남구 영동대로 513,"삼성역 트레이드 타워(무역센터)를 시작으로 코엑스 컨벤션센터를 지나 아셈타워에 이르는 보도 변 긴 광장을 말한다.
동측 광장의 다른 이름은 코엑스 어반파크(Coex Urban Park)라고 해서 K팝 공연, 야외 영화제 등 다양한 행사가 연중 수시로 열리고 있다. 이곳 코엑스 일대는 K-Pop ‘강남스타일’의 촬영지로 전 세계를 말춤 열풍으로 달구면서 강남을 전 세계에 알렸던 강남스타일 랜드마크로 ''세계는 하나''라는 글로벌 마인드를 부각한 높이 5m, 폭 8m에 달하는 ‘말춤’ 청동 조형물도 설치되어 있어 세계적인 관광 명소로도 주목받고 있다.",02-6000-1155,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11a6828e-6358-4bc4-9210-00f90d6d34b5,강남구
윤화돈까스,서울특별시 강남구 도곡로 221,"기사식당 30년 내공의 음식점으로 기본 옛날 돈가스부터 윤화정식(돈가스+생선+함박), 생선가스, 함박가스, 치즈가스 등 다채로운 돈가스 메뉴와 더불어 갈비탕이나 제육볶음과 같은 한식 메뉴를 판매하는 식당이다. 식당 옆에 주차 공간이 있으며, 수인분당선 한티역에서 10분 거리에 있다.",02-3463-0863,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ccf46bf-8f96-49c9-85ea-19b172cbe493,강남구
잠두봉더나인,서울특별시 마포구 마포나루길 582,서울 마포구 양화대교 북단 합정동 망원한강공원에 있는 잠두봉 선착장에 있는 식당이다. 선착장의 기능이 아닌 잠두봉더나인(The 9) 식당 전용으로 운영되고 있다. 3층 규모로 넓은 실내와 야외 데크에서 고기를 구워 먹으면서 한강을 감상할 수 있는 색다른 경험을 가질 수 있어서 젊은이들에게 인기 있는 식당이다. 노을 및 야경을 바라보며 식사하기를 원하는 이용객들이 많아 특히 저녁과 주말에는 대기가 많다. 합정역 8번 출구에서 도보 10분 거리다.,010-7259-8876,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=57c0819f-28ed-4935-9260-fc7a04df399d,마포구
정대포,서울특별시 마포구 도화길 52,"서울 마포구 공덕역 인근 마포갈매기 고깃집 골목에 있는 갈매기살 전문 식당으로 유명한 곳이다. 갈매기살, 소금구이, 돼지갈비, 삼겹살 등을 판매하며 고기를 구우면서 불판 가장자리에 계란찜을 해 먹을 수 있다. 도톰하게 잘려 나온 갈매기살의 육즙이 가득하고 바싹 익힌 껍데기의 탱글탱글함이 절로 술을 부른다는 평이다. 함께 곁들여 나오는 매콤한 청양고추가 들어간 간장 소스, 고추장, 파채 등을 취향에 맞게 곁들여 먹을 수 있다. 경의중앙선 공덕역 9번 출구 도보 1분 거리에 있다.",02-713-0710,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0f7e6c62-e098-4f13-b6ce-b93609c12698,마포구
